artist,popularity
Eminem,71
Lil' Kim,48
Mýa,48
50 Cent,72
Nelly,61
Missy Elliott,57
Girls Aloud,60
Ultrabeat,59
Christina Aguilera,67
Frankie J,49
Snoop Dogg,67
Floetry,57
Ginuwine,59
Electric Six,0
Rachel Stevens,38
Ludacris,57
Nas,58
3 Doors Down,67
Tyrese,60
Justin Timberlake,73
Westlife,57
No Doubt,60
Amanda Perez,48
JAY-Z,56
Coldplay,79
Kelly Rowland,54
Missy Elliott,70
Ashanti,65
Junior Senior,67
Audioslave,75
Sean Paul,61
Jaheim,55
Jennifer Lopez,60
Monica,64
Dido,44
The Roots,63
Chingy,61
Fabolous,61
Kelly Clarkson,47
Ja Rule,61
Matchbox Twenty,63
Outkast,66
Fabolous,67
Switchfoot,61
Daniel Bedingfield,58
Good Charlotte,68
Wayne Wonder,63
The Strokes,74
Avril Lavigne,70
Will Young,55
Usher,81
Maroon 5,77
Britney Spears,81
Outkast,80
Hoobastank,79
Anastacia,65
Daddy Yankee,11
Black Eyed Peas,53
O-Zone,56
Terror Squad,67
Anastacia,56
Gwen Stefani,60
Ashanti,56
The Rasmus,68
Houston,59
Beyoncé,63
Linkin Park,81
Lloyd Banks,61
Akon,16
D12,73
Jay Sean,42
Mario Winans,66
Destiny's Child,61
Eric Prydz,72
Ciara,67
Kelis,63
LL Cool J,56
Spiderbait,63
George Michael,57
Britney Spears,53
Nina Sky,67
Baby Bash,73
Petey Pablo,56
JAY-Z,53
Juanes,70
Avril Lavigne,61
Robbie Williams,33
Black Eyed Peas,49
Ying Yang Twins,61
Enrique Iglesias,37
Kelis,68
Linkin Park,68
JoJo,49
Christina Milian,45
Avant,56
Eminem,67
Sugababes,58
Snoop Dogg,39
Sean Paul,68
The Shapeshifters,65
D12,57
Basement Jaxx,0
Kevin Lyttle,67
Chingy,61
T.I.,63
DJ Casper,51
Kylie Minogue,47
Twista,66
N.E.R.D,57
Britney Spears,63
U2,64
Franz Ferdinand,77
J-Kwon,59
G-Unit,61
Lil' Flip,42
Kanye West,73
Evanescence,72
Nelly,57
Lemar,46
No Doubt,60
Avril Lavigne,58
Twista,72
Green Day,77
Kelis,57
Scissor Sisters,43
Alicia Keys,55
Kanye West,76
Special D.,61
Ludacris,48
Avril Lavigne,68
Dido,44
Eamon,64
Beyoncé,62
3 Doors Down,74
Kanye West,80
Twista,56
Katie Melua,55
Usher,76
Lloyd,59
LMC,59
The Streets,58
JUVENILE,64
Outkast,66
Girls Aloud,59
Jessica Simpson,57
Eminem,48
Gary Jules,65
Ashlee Simpson,56
Will Young,55
Alicia Keys,61
Mariah Carey,69
Mario,72
Kanye West,78
Rihanna,77
50 Cent,79
James Blunt,75
Green Day,72
The Pussycat Dolls,72
Daniel Powter,74
Akon,28
Madonna,74
50 Cent,76
Crazy Frog,67
Eminem,52
Sean Paul,59
Gwen Stefani,68
The Chemical Brothers,63
Fort Minor,73
50 Cent,72
The Game,74
Chris Brown,71
Mariah Carey,0
Black Eyed Peas,67
Ciara,61
50 Cent,60
Baby Bash,4
Jennifer Lopez,65
JAY-Z,76
The Game,77
Gorillaz,82
Black Eyed Peas,62
Akon,21
Bodyrockers,54
Sugababes,64
Jeezy,55
Eminem,77
Shakira,72
Gorillaz,73
Snoop Dogg,54
Robbie Williams,58
David Banner,52
Trillville,50
D4L,63
Missy Elliott,67
Rob Thomas,56
Brian McFadden,42
Bobby V.,65
Backstreet Boys,63
Pretty Ricky,63
Kanye West,61
Snoop Dogg,39
Fat Joe,41
Destiny's Child,63
Ciara,52
Amerie,52
Ludacris,59
Franz Ferdinand,61
Natalie Imbruglia,52
Gwen Stefani,69
Pretty Ricky,59
Thirty Seconds To Mars,74
Alicia Keys,50
2Pac,68
Craig David,56
Katie Melua,60
Lil Jon & The East Side Boyz,66
Mariah Carey,0
Ying Yang Twins,57
Will Smith,34
Bow Wow,66
Kaiser Chiefs,58
Kelly Clarkson,59
Black Eyed Peas,61
Westlife,1
Ray J,62
Papa Roach,60
Arctic Monkeys,71
Shayne Ward,1
Bow Wow,62
Kaiser Chiefs,63
Usher,61
Kelly Clarkson,71
3 Doors Down,52
Nickelback,67
T-Pain,0
Destiny's Child,58
The Pussycat Dolls,67
Ryan Cabrera,62
Stereophonics,69
Eminem,67
Nelly,61
Coldplay,69
KT Tunstall,71
Destiny's Child,55
Kelly Clarkson,71
U2,56
The All-American Rejects,65
Toby Keith,67
Gwen Stefani,59
Foo Fighters,76
Shakira,82
Sean Paul,78
Justin Timberlake,78
Beyoncé,70
Amy Winehouse,71
Rihanna,73
Gnarls Barkley,74
Busta Rhymes,61
Nelly Furtado,79
Bob Sinclar,69
Diddy,55
Madonna,61
Chamillionaire,71
Black Eyed Peas,75
Nelly Furtado,82
Fedde Le Grand,39
Sean Paul,58
The Pussycat Dolls,68
Ciara,59
Eminem,74
Cherish,65
Muse,75
Chris Brown,63
Infernal,57
Cassie,73
E-40,63
The Pussycat Dolls,57
Lil Jon,67
Armand Van Helden,40
The Notorious B.I.G.,68
Yung Joc,66
Shayne Ward,1
Justin Timberlake,72
Nickelback,65
Nelly,60
Take That,64
Fergie,57
Cascada,0
D4L,63
LL Cool J,42
Beyoncé,57
P!nk,0
Eminem,68
Kelis,50
Bob Sinclar,49
Meck,46
Mary J. Blige,69
Girls Aloud,49
Rihanna,70
Kanye West,73
Dem Franchize Boyz,60
Evanescence,65
Chingy,62
Nickelback,70
Fall Out Boy,74
Leona Lewis,57
T.I.,64
Ludacris,62
Nick Lachey,37
Jibbs,56
Arctic Monkeys,72
Rascal Flatts,0
Beyoncé,45
Keyshia Cole,72
Lily Allen,68
Ne-Yo,67
JoJo,48
Mary J. Blige,64
Bubba Sparxxx,62
Amy Winehouse,63
Rascal Flatts,69
Red Hot Chili Peppers,76
Scissor Sisters,63
Ne-Yo,75
Hinder,35
The Raconteurs,56
The Fratellis,68
Fort Minor,42
The Pussycat Dolls,67
Panic! At The Disco,70
James Blunt,67
Christina Aguilera,63
Westlife,0
Keane,59
Orson,46
T-Pain,0
KT Tunstall,64
Natasha Bedingfield,2
Razorlight,67
James Morrison,64
Snow Patrol,35
The Fray,79
Sandi Thom,61
My Chemical Romance,76
Razorlight,59
The All-American Rejects,65
James Morrison,49
Chris Brown,69
P!nk,0
The Kooks,73
Leona Lewis,75
Rihanna,81
Britney Spears,79
Fergie,76
Mark Ronson,0
Plain White T's,78
Justin Timberlake,70
Gwen Stefani,71
Timbaland,80
Nelly Furtado,81
Ida Corr,43
Alex Gaudino,73
September,65
Akon,58
Timbaland,70
50 Cent,67
Eric Prydz,0
Fedde Le Grand,0
Ciara,68
Kanye West,54
Beyoncé,64
Gym Class Heroes,59
Akon,53
Soulja Boy,74
Fat Joe,59
P!nk,0
Rihanna,69
Lloyd,62
Kanye West,47
Camille Jones,17
Linkin Park,77
Keyshia Cole,60
Chris Brown,68
Shop Boyz,61
Finger Eleven,73
Justin Timberlake,66
MiMS,59
Fabolous,62
Seether,73
Take That,64
Arctic Monkeys,67
Justin Timberlake,72
Fergie,64
Linkin Park,73
My Chemical Romance,80
Calvin Harris,57
Sugababes,66
Avril Lavigne,75
Ne-Yo,74
Daughtry,45
Unk,48
Lloyd,70
Klaxons,65
T-Pain,3
Baby Boy Da Prince,59
Fergie,63
Omarion,57
Pretty Ricky,57
Nickelback,69
Fall Out Boy,76
Justin Timberlake,57
All Time Low,76
Amy Winehouse,76
Keyshia Cole,58
Ciara,56
Enrique Iglesias,45
T2,59
Robyn,36
Maroon 5,62
Fall Out Boy,68
Paramore,72
Hinder,30
Huey,52
Foo Fighters,78
Plies,61
Kaiser Chiefs,67
Mark Ronson,46
Bow Wow,57
Jim Jones,0
The Red Jumpsuit Apparatus,74
MIKA,69
Christina Aguilera,66
Sean Kingston,78
Akon,52
James Blunt,68
Carrie Underwood,76
Just Jack,52
T-Pain,2
Bone Thugs-N-Harmony,61
Avril Lavigne,68
Rich Boy,57
MIKA,57
Manic Street Preachers,53
Elliott Yamin,58
Wyclef Jean,56
Boys Like Girls,62
Take That,58
J. Holiday,64
Red Hot Chili Peppers,79
Ludacris,51
Flo Rida,80
Katy Perry,73
Rihanna,74
Alicia Keys,77
Timbaland,74
Ne-Yo,71
Chris Brown,70
Beyoncé,66
Kardinal Offishall,75
Madcon,70
September,65
Rihanna,76
Guru Josh Project,1
Britney Spears,61
Lil Wayne,69
Basshunter,63
Kanye West,52
Madonna,71
Katy Perry,73
Rihanna,77
Snoop Dogg,56
Akon,69
Britney Spears,76
Eric Prydz,65
Kelly Rowland,34
Jeezy,69
Madonna,57
The Pussycat Dolls,72
will.i.am,46
Soulja Boy,74
Britney Spears,64
T.I.,75
Ne-Yo,65
Lil Wayne,69
Colby O'Donis,61
Miley Cyrus,0
Basshunter,65
Chris Brown,68
Finger Eleven,73
Alesha Dixon,51
Dizzee Rascal,68
Gabriella Cilmi,56
Jack White,56
Plies,66
The Pussycat Dolls,64
Sean Kingston,65
Natasha Bedingfield,62
The Offspring,78
Kanye West,47
Estelle,78
Saving Abel,69
Pendulum,57
The Game,60
Danity Kane,57
P!nk,76
Kanye West,66
Gym Class Heroes,54
M.I.A.,1
3 Doors Down,56
Kylie Minogue,47
Mariah Carey,0
MGMT,77
The Ting Tings,55
Lil Wayne,58
Santana,57
The-Dream,62
Wiley,59
Usher,71
Sam Sparro,53
"H ""two"" O",55
The Ting Tings,51
Plies,61
James Morrison,70
Leona Lewis,62
Metro Station,67
T.I.,74
Trey Songz,62
OneRepublic,59
Alexandra Burke,63
Mary J. Blige,64
Jordin Sparks,56
Coldplay,80
Kings of Leon,80
Kanye West,45
Duffy,69
David Archuleta,67
J. Holiday,58
Gavin DeGraw,51
Jordin Sparks,54
Coldplay,63
Ray J,1
Jennifer Hudson,60
John Legend,55
Jonas Brothers,68
Lupe Fiasco,64
Chris Brown,74
Adele,1
Leona Lewis,67
Fergie,58
T-Pain,0
Black Eyed Peas,80
Lady Gaga,77
Beyoncé,74
David Guetta,75
Flo Rida,74
Taylor Swift,74
Pitbull,63
Britney Spears,74
Lady Gaga,69
Skillet,75
The Prodigy,57
Black Eyed Peas,72
Kanye West,82
Kid Cudi,72
Lady Gaga,76
Britney Spears,69
Pitbull,59
Mariah Carey,66
Beyoncé,48
Agnes,65
Black Eyed Peas,68
Shakira,68
Lady Gaga,70
JAY-Z,82
OneRepublic,65
Jeremih,67
Cascada,63
Linkin Park,68
Kevin Rudolf,66
JAY-Z,75
Lady Gaga,80
T.I.,75
Eminem,63
Dizzee Rascal,38
Ciara,58
Rihanna,64
Soulja Boy,59
The xx,2
Jay Sean,3
Keri Hilson,41
David Guetta,69
Cheryl,65
Soulja Boy,76
Eminem,70
P!nk,46
Tinchy Stryder,59
Pixie Lott,54
JLS,0
3OH!3,70
A.R. Rahman,65
The Pussycat Dolls,64
Akon,65
Alexandra Burke,57
Mario,51
Drake,73
Selena Gomez & The Scene,63
Kanye West,66
The Veronicas,58
Fabolous,59
Jason Derulo,70
Lily Allen,54
T.I.,68
Sean Kingston,71
Empire of the Sun,77
Cobra Starship,65
Nickelback,66
La Roux,71
Kasabian,64
Calvin Harris,55
Justin Bieber,71
Jamie Foxx,65
La Roux,59
Muse,75
Nickelback,62
James Morrison,70
T.I.,74
Dizzee Rascal,60
Beyoncé,67
Boys Like Girls,64
The-Dream,62
OneRepublic,74
JLS,39
Jason Aldean,50
The Fray,67
Lily Allen,53
Kings of Leon,80
Drake,54
Kelly Clarkson,56
Miley Cyrus,79
Jordin Sparks,57
Ne-Yo,64
Green Day,73
Keri Hilson,57
Taylor Swift,55
Shinedown,67
Asher Roth,62
Katy Perry,49
Kelly Clarkson,68
Mumford & Sons,68
The Fray,73
Bruno Mars,77
Eminem,81
Lady Gaga,80
Stromae,77
Kesha,80
David Guetta,76
Taio Cruz,80
Rihanna,73
Katy Perry,72
Kesha,68
INNA,42
Far East Movement,73
David Guetta,62
Duck Sauce,46
Lucenzo,0
Rihanna,67
Timbaland,69
DJ Fresh,63
Edward Maya,66
Taio Cruz,74
Black Eyed Peas,61
Sidney Samson,47
Eminem,79
Lady Gaga,67
Rihanna,74
Ne-Yo,57
3OH!3,32
Black Eyed Peas,69
Kelly Rowland,59
Swedish House Mafia,63
Chris Brown,68
Usher,79
Iyaz,75
Flo Rida,76
Sean Kingston,74
Waka Flocka Flame,58
Tinie Tempah,57
Bruno Mars,76
Miley Cyrus,0
Mike Posner,75
Lady Gaga,69
Yolanda Be Cool,1
Rihanna,55
Tinie Tempah,53
Adam Lambert,57
Trey Songz,0
Timbaland,68
Enrique Iglesias,63
Tim Berg,0
Usher,73
Maroon 5,67
Jay Sean,3
Rihanna,68
3OH!3,62
Justin Bieber,81
Cali Swag District,66
Swedish House Mafia,54
K'NAAN,57
Ludacris,63
Kesha,61
DJ Khaled,51
Jason Derulo,65
Aloe Blacc,1
B.o.B,74
Ludacris,68
Nelly,73
Rihanna,66
Shontelle,35
Take That,57
Trey Songz,54
Jason Derulo,70
Drake,57
Example,63
Plan B,62
The Saturdays,61
Jay Sean,2
Usher,60
Lil Wayne,68
The Wanted,18
Kesha,69
Ellie Goulding,54
Drake,56
Jason Derulo,66
Two Door Cinema Club,0
JAY-Z,65
Young Money,71
B.o.B,74
Katy Perry,69
Scouting For Girls,52
Travie McCoy,72
Owl City,78
Alicia Keys,71
Lady A,73
Taylor Swift,65
Neon Trees,64
Kris Allen,51
Matt Cardle,46
Robyn,0
The Band Perry,64
B.o.B,65
Adele,2
Maroon 5,77
LMFAO,73
Katy Perry,72
Bruno Mars,78
Pitbull,71
Alexandra Stan,0
David Guetta,71
Jennifer Lopez,79
Rihanna,73
Kesha,69
Snoop Dogg,68
Taio Cruz,61
Usher,67
Example,42
Black Eyed Peas,76
David Guetta,72
Lykke Li,51
Pitbull,81
Selena Gomez & The Scene,79
Wiz Khalifa,75
Katy Perry,65
Britney Spears,66
Gym Class Heroes,81
Edward Maya,66
Enrique Iglesias,63
Jeremih,72
Sak Noel,49
Olly Murs,61
LMFAO,67
Cobra Starship,70
Jessie J,57
DJ Fresh,55
Waka Flocka Flame,76
Nickelback,65
M83,76
Britney Spears,65
Labrinth,62
Jason Derulo,63
Coldplay,82
Katy Perry,74
Adele,2
Dr. Dre,71
Lil Wayne,1
DJ Khaled,70
Chris Brown,71
Far East Movement,61
The Wanted,77
Kesha,71
Kelly Rowland,65
Rihanna,75
Nicole Scherzinger,62
Mann,48
Chris Brown,69
Swedish House Mafia,65
Kanye West,76
Miguel,78
Diddy - Dirty Money,69
Rihanna,66
Chris Brown,53
Avril Lavigne,74
Professor Green,39
Chase & Status,60
Chip,48
Selena Gomez & The Scene,76
Rizzle Kicks,59
Lady Gaga,72
Nicki Minaj,0
Mac Miller,61
Calvin Harris,62
David Guetta,70
Foster The People,82
Drake,74
Jessie J,73
Jason Aldean,53
Wiz Khalifa,63
OneRepublic,72
Bad Meets Evil,68
Bruno Mars,75
Lupe Fiasco,70
James Morrison,64
Jason Derulo,70
Adele,4
Red Hot Chili Peppers,65
Keri Hilson,67
P!nk,60
Blake Shelton,50
Lady Gaga,67
Lady A,63
Hot Chelle Rae,73
Grouplove,79
Coldplay,69
Beyoncé,69
P!nk,76
Christina Perri,72
Bruno Mars,75
The Band Perry,64
Lil Wayne,0
Charlene Soraia,60
Christina Perri,70
Rihanna,75
Carly Rae Jepsen,78
fun.,76
Sean Paul,70
Pitbull,74
DEV,52
Adele,74
David Guetta,65
Rihanna,71
JAY-Z,82
Maroon 5,74
Skrillex,70
The Wanted,69
Flo Rida,77
will.i.am,62
David Guetta,66
Nicki Minaj,64
Kendrick Lamar,63
MARINA,78
Kanye West,73
DJ Fresh,58
LMFAO,67
PSY,72
Kesha,78
Usher,66
Olly Murs,0
Linkin Park,73
Bruno Mars,85
Avicii,77
Flo Rida,76
Rihanna,75
Wiz Khalifa,62
Katy Perry,73
Nicki Minaj,75
Kendrick Lamar,67
Asaf Avidan & the Mojos,0
Florence + The Machine,68
Azealia Banks,0
Maroon 5,82
James Arthur,75
Michel Teló,0
Otto Knows,0
Icona Pop,51
Tyga,61
Calvin Harris,79
Jennifer Lopez,0
Grimes,0
Adele,0
Coldplay,82
Chris Brown,64
Frank Ocean,64
Calvin Harris,66
The Script,78
Swedish House Mafia,76
MARINA,50
Justin Bieber,63
David Guetta,79
Jessie J,74
Taylor Swift,59
ScHoolboy Q,61
P!nk,76
Robbie Williams,68
Snoop Dogg,77
Justin Bieber,67
Rita Ora,46
Alex Clare,60
Tyga,58
Alesso,0
Guy Sebastian,0
Katy Perry,72
Avicii,53
Gotye,57
Flo Rida,77
One Direction,82
Lana Del Rey,53
Kesha,0
Owl City,77
Calvin Harris,62
Emeli Sandé,65
Ellie Goulding,63
Train,77
Disclosure,74
Coldplay,66
One Direction,0
Gym Class Heroes,61
Carrie Underwood,63
alt-J,71
Chris Brown,62
Kelly Clarkson,74
Drake,74
Katy Perry,65
Rita Ora,48
Rudimental,64
Lana Del Rey,66
Ne-Yo,69
Demi Lovato,71
Drake,75
Little Mix,0
Bruno Mars,74
Cher Lloyd,67
Lorde,77
Robin Thicke,55
Imagine Dragons,77
Avicii,6
Bruno Mars,85
Macklemore & Ryan Lewis,1
Daft Punk,83
will.i.am,78
Stromae,0
Bingo Players,1
Naughty Boy,58
Tom Odell,88
2 Chainz,69
David Guetta,69
Pitbull,77
will.i.am,68
Lil Wayne,68
Macklemore & Ryan Lewis,81
Martin Garrix,0
Jason Derulo,56
John Newman,74
Britney Spears,0
The Neighbourhood,89
Sebastian Ingrosso,68
Capital Cities,0
Demi Lovato,79
Arctic Monkeys,84
Justin Bieber,73
Eminem,75
Pitbull,64
Selena Gomez,69
P!nk,71
Disclosure,54
Flo Rida,60
Kanye West,0
Lana Del Rey,72
Eminem,66
Icona Pop,68
Fall Out Boy,71
Lorde,0
Avicii,68
Imagine Dragons,81
One Direction,66
Taylor Swift,76
Arctic Monkeys,84
Rudimental,66
Klangkarussell,68
Calvin Harris,61
A$AP Rocky,76
P!nk,76
Ylvis,63
Ellie Goulding,70
Baauer,57
Calvin Harris,70
Katy Perry,60
AWOLNATION,2
Duke Dumont,27
Jason Derulo,50
Storm Queen,0
Calvin Harris,71
Katy Perry,0
Wale,61
Ciara,64
Drake,65
Birdy,48
Bastille,61
Olly Murs,59
Katy Perry,73
Blake Shelton,56
Calvin Harris,65
JAY-Z,62
Bridgit Mendler,72
The Saturdays,61
Bastille,74
One Direction,76
Nelly,57
Zedd,0
Miley Cyrus,77
Chris Brown,0
Daft Punk,69
Armin van Buuren,66
Justin Timberlake,78
Bruno Mars,78
Of Monsters and Men,79
Miley Cyrus,78
J. Cole,0
Paramore,79
Christina Perri,59
Drake,72
James Blunt,0
Maroon 5,66
Childish Gambino,0
Avril Lavigne,0
Taylor Swift,68
Passenger,73
Ariana Grande,65
Rihanna,76
Justin Timberlake,67
Bruno Mars,83
Florida Georgia Line,57
Pharrell Williams,79
Katy Perry,74
ScHoolboy Q,0
Iggy Azalea,69
Maroon 5,79
Sam Smith,80
MAGIC!,80
Sia,78
John Legend,84
ZHU,49
Meghan Trainor,72
David Guetta,50
Iggy Azalea,67
Tove Lo,74
Oliver Heldens,67
DJ Snake,69
Jason Derulo,56
Maroon 5,0
David Guetta,45
Tinashe,71
Route 94,72
Taylor Swift,54
Trey Songz,62
Calvin Harris,72
O.T. Genasis,61
Jason Derulo,66
Lilly Wood and The Prick,66
Jeremih,74
Nicki Minaj,66
Calvin Harris,75
DJ Snake,70
Pitbull,80
OneRepublic,62
Bobby Shmurda,73
Calvin Harris,21
ScHoolboy Q,0
Nico & Vinz,76
Becky G,78
Sigma,62
The Chainsmokers,0
Lorde,76
Rixton,77
Klingande,50
Mr. Probz,2
Paloma Faith,80
Kiesza,64
Ellie Goulding,70
Ariana Grande,0
Kid Ink,68
Tove Lo,66
Chris Brown,72
OneRepublic,59
Olly Murs,0
Peking Duk,48
Milky Chance,73
Ed Sheeran,72
Ariana Grande,74
Enrique Iglesias,66
Avicii,2
Jessie J,77
Duke Dumont,67
Gorgon City,61
Taylor Swift,61
MKTO,82
Disclosure,74
Ariana Grande,73
Charli XCX,49
One Direction,79
Tiësto,0
Selena Gomez,58
Rita Ora,65
5 Seconds of Summer,74
The Script,74
Taylor Swift,79
One Direction,83
Ed Sheeran,69
Alesso,52
Tiësto,0
G.R.L.,64
Coldplay,80
Clean Bandit,72
Zedd,63
Sia,70
One Direction,81
Alex & Sierra,75
Omarion,55
Echosmith,71
Natalie La Rose,66
Vance Joy,80
Beyoncé,70
Maroon 5,0
Ella Henderson,63
Ed Sheeran,71
Chris Brown,67
Sheppard,0
Olly Murs,0
Sam Smith,62
Jason Derulo,53
Nicki Minaj,53
Nick Jonas,0
Mark Ronson,82
Ed Sheeran,81
Wiz Khalifa,81
Justin Bieber,77
Major Lazer,73
The Weeknd,76
Ellie Goulding,78
Calvin Harris,78
David Guetta,75
Demi Lovato,0
Taylor Swift,82
The Weeknd,84
The Neighbourhood,85
Deorro,66
Avicii,85
DJ Snake,69
Adam Lambert,46
Rae Sremmurd,71
Taylor Swift,70
Flo Rida,49
Robin Schulz,76
Calvin Harris,76
Philip George,65
Trey Songz,62
Fall Out Boy,80
Rob $tone,76
Lost Frequencies,33
Twenty One Pilots,83
Fifth Harmony,73
KALEO,63
Sam Smith,79
Major Lazer,49
Martin Solveig,48
Avicii,79
Felix Jaehn,72
Taylor Swift,78
